,Model,Brand,Price,Odometer,Paint color,Condition,Fuel,Transmission,Type
0,2014,FIAT,16590.0,6518,blue,good,gas,automatic,hatchback
1,2016,Toyota,25990.0,41834,red,good,gas,automatic,hatchback
2,2015,Chrysler,20990.0,17052,white,good,gas,other,sedan
3,2013,Acura,21590.0,54662,white,good,other,automatic,sedan
4,2016,Hyundai,20990.0,99478,blue,good,other,automatic,coupe
5,2017,Volkswagen,22990.0,31749,red,good,gas,automatic,sedan
6,2016,Mercedes-Benz,32590.0,12453,black,good,other,automatic,coupe
7,2016,Ford,23990.0,15655,blue,good,other,automatic,sedan
8,2020,Chevrolet,34990.0,20748,blue,good,gas,other,pickup
9,2018,Ford,24990.0,12915,blue,good,other,automatic,hatchback
10,2019,Subaru,30590.0,29494,white,good,gas,other,coupe
11,2015,Acura,22990.0,32917,black,good,other,other,sedan
12,2018,Ford,37990.0,13012,black,good,other,automatic,pickup
13,2005,2005,4900.0,341000,white,good,gas,automatic,SUV
14,2012,INFINITI,17990.0,88470,white,good,diesel,automatic,sedan
15,2014,Nissan,6783.0,138110,blue,good,gas,automatic,hatchback
16,2016,Ford,32590.0,80902,brown,good,other,other,pickup
17,2019,Toyota,26590.0,20055,silver,good,other,other,hatchback
18,2015,GMC,31855.0,154283,black,good,gas,automatic,truck
19,2009,Dodge,17998.0,134330,white,good,gas,automatic,truck
20,2011,Toyota,16399.0,147847,white,good,gas,automatic,SUV
21,2018,Toyota,38995.0,82300,white,good,gas,automatic,truck
22,2010,Toyota,22840.0,131694,black,good,gas,automatic,truck
23,2017,Lexus,35846.0,91498,silver,good,gas,automatic,SUV
24,2013,Toyota,22995.0,151384,silver,good,gas,automatic,truck
25,2007,kia,3500.0,112000,black,good,gas,automatic,sedan
26,2013,Chrysler,18990.0,55546,red,good,other,automatic,van
27,2018,Lexus,35990.0,13677,white,good,other,other,sedan
28,2019,Toyota,27990.0,6788,white,good,gas,other,hatchback
29,2016,Scion,20590.0,48753,red,good,other,automatic,coupe
30,2016,Volkswagen,28590.0,5439,black,good,other,automatic,hatchback
31,2003,honda,3800.0,234531,black,good,gas,automatic,SUV
32,2013,Volkswagen,8000.0,122000,silver,good,gas,automatic,sedan
33,2014,Honda,5500.0,136000,black,good,gas,manual,coupe
34,2004,acura,4000.0,200070,white,good,gas,manual,sedan
35,2005,ford,2000.0,144000,black,good,gas,automatic,SUV
36,2017,Nissan,32990.0,9962,black,good,gas,automatic,coupe
37,2020,Chevrolet,31990.0,7982,silver,good,gas,other,pickup
38,2002,acura,3300.0,215069,black,good,gas,manual,SUV
39,2006,chevy,12000.0,270000,white,good,diesel,automatic,van
40,1993,gmc,5000.0,340000,black,good,gas,automatic,SUV
41,2007,toyota,5800.0,170000,white,good,gas,automatic,coupe
42,1980,cadillac,15000.0,29485,white,good,gas,automatic,coupe
43,2008,honda,4900.0,185000,grey,fair,gas,automatic,mini-van
44,2014,Audi,23990.0,58087,blue,good,other,automatic,sedan
45,2014,Acura,20990.0,39378,white,good,gas,automatic,sedan
46,2007,kia,4200.0,114760,blue,good,gas,automatic,sedan
47,2011,2011,7000.0,244000,white,good,gas,automatic,truck
48,2009,hyundai,3995.0,126899,blue,good,gas,manual,hatchback
49,2009,ford,5500.0,188753,white,good,gas,automatic,pickup
50,2008,ford,3995.0,167945,white,good,gas,automatic,sedan
51,2004,Ford,3900.0,81795,grey,good,gas,automatic,sedan
52,2009,gmc,4800.0,138,purple,good,gas,automatic,SUV
53,2006,nissan,3700.0,141975,grey,good,gas,automatic,sedan
54,2015,FIAT,16990.0,4844,blue,good,gas,automatic,hatchback
55,2017,Toyota,29590.0,30387,blue,good,gas,automatic,hatchback
56,2015,Audi,26990.0,66585,black,good,gas,automatic,sedan
57,2021,MAZDA,26990.0,7210,blue,good,gas,other,hatchback
58,2013,chevrolet,35995.0,186189,white,good,diesel,automatic,truck
