Model,Brand,Price,Odometer,Paint color,Condition,Fuel,Transmission,Type
2014,FIAT,$16590,6518,blue,good,gas,automatic,hatchback
2016,Toyota,$25990,41834,red,good,gas,automatic,hatchback
2015,Chrysler,$20990,17052,white,good,gas,other,sedan
2013,Acura,$21590,54662,white,good,other,automatic,sedan
2016,Hyundai,$20990,99478,blue,good,other,automatic,coupe
2017,Volkswagen,$22990,31749,red,good,gas,automatic,sedan
2016,Mercedes-Benz,$32590,12453,black,good,other,automatic,coupe
2016,Ford,$23990,15655,blue,good,other,automatic,sedan
2020,Chevrolet,$34990,20748,blue,good,gas,other,pickup
2018,Ford,$24990,12915,blue,good,other,automatic,hatchback
2019,Subaru,$30590,29494,white,good,gas,other,coupe
2015,Acura,$22990,32917,black,good,other,other,sedan
2018,Ford,$37990,13012,black,good,other,automatic,pickup
2005,2005,$4900,341000,white,good,gas,automatic,SUV
2012,INFINITI,$17990,88470,white,good,diesel,automatic,sedan
2014,Nissan,$6783,138110,blue,good,gas,automatic,hatchback
2016,Ford,$32590,80902,brown,good,other,other,pickup
2019,Toyota,$26590,20055,silver,good,other,other,hatchback
2018,Ford,$24990,12915,blue,good,other,automatic,hatchback
2019,Subaru,$30590,29494,white,good,gas,other,coupe
2015,Acura,$22990,32917,black,good,other,other,sedan
2018,Ford,$37990,13012,black,good,other,automatic,pickup
2005,2005,$4900,341000,white,good,gas,automatic,SUV
2012,INFINITI,$17990,88470,white,good,diesel,automatic,sedan
2014,Nissan,$6783,138110,blue,good,gas,automatic,hatchback
2016,Ford,$32590,80902,brown,good,other,other,pickup
2019,Toyota,$26590,20055,silver,good,other,other,hatchback
2015,GMC,$31855,154283,black,good,gas,automatic,truck
2009,Dodge,$17998,134330,white,good,gas,automatic,truck
2011,Toyota,$16399,147847,white,good,gas,automatic,SUV
2018,Toyota,$38995,82300,white,good,gas,automatic,truck
2010,Toyota,$22840,131694,black,good,gas,automatic,truck
2017,Lexus,$35846,91498,silver,good,gas,automatic,SUV
2013,Toyota,$22995,151384,silver,good,gas,automatic,truck
2007,kia,$3500,112000,black,good,gas,automatic,sedan
2013,Chrysler,$18990,55546,red,good,other,automatic,van
2018,Lexus,$35990,13677,white,good,other,other,sedan
2019,Toyota,$27990,6788,white,good,gas,other,hatchback
2016,Scion,$20590,48753,red,good,other,automatic,coupe
2016,Volkswagen,$28590,5439,black,good,other,automatic,hatchback
2003,honda,$3800,234531,black,good,gas,automatic,SUV
2013,Volkswagen,$8000,122000,silver,good,gas,automatic,sedan
2014,Honda,$5500,136000,black,good,gas,manual,coupe
2004,acura,$4000,200070,white,good,gas,manual,sedan
2005,ford,$2000,144000,black,good,gas,automatic,SUV
2017,Nissan,$32990,9962,black,good,gas,automatic,coupe
2020,Chevrolet,$31990,7982,silver,good,gas,other,pickup
2015,GMC,$31855,154283,black,good,gas,automatic,truck
2009,Dodge,$17998,134330,white,good,gas,automatic,truck
2011,Toyota,$16399,147847,white,good,gas,automatic,SUV
2018,Toyota,$38995,82300,white,good,gas,automatic,truck
2010,Toyota,$22840,131694,black,good,gas,automatic,truck
2017,Lexus,$35846,91498,silver,good,gas,automatic,SUV
2013,Toyota,$22995,151384,silver,good,gas,automatic,truck
2007,kia,$3500,112000,black,good,gas,automatic,sedan
2013,Chrysler,$18990,55546,red,good,other,automatic,van
2018,Lexus,$35990,13677,white,good,other,other,sedan
2019,Toyota,$27990,6788,white,good,gas,other,hatchback
2016,Scion,$20590,48753,red,good,other,automatic,coupe
2016,Volkswagen,$28590,5439,black,good,other,automatic,hatchback
2003,honda,$3800,234531,black,good,gas,automatic,SUV
2013,Volkswagen,$8000,122000,silver,good,gas,automatic,sedan
2014,Honda,$5500,136000,black,good,gas,manual,coupe
2004,acura,$4000,200070,white,good,gas,manual,sedan
2005,ford,$2000,144000,black,good,gas,automatic,SUV
2017,Nissan,$32990,9962,black,good,gas,automatic,coupe
